system:index,SiteID,max,med,min,.geo
0,lagos-5050,90,86.99999999999999,84,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.03622,46.27802]}"
1,lagos-5051,87,83.99999999999999,49,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-73.183953,43.734188]}"
2,lagos-5052,88,83.99999999999999,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-72.81859,42.87525]}"
3,lagos-5053,98,96.0,93,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.056938,43.908039]}"
4,lagos-5054,85,69.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.756076,44.791128]}"
5,lagos-5055,89,81.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.302323,43.498253]}"
6,lagos-5056,79,69.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.12248,45.629988]}"
7,lagos-5057,93,91.0,89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.595056,45.379567]}"
8,lagos-5058,95,93.0,90,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.313966,45.398353]}"
9,lagos-5059,92,85.0,14,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.658953,45.739033]}"
10,lagos-5060,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.424033,40.469209]}"
11,lagos-5061,78,72.00000000000001,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.940164,46.281846]}"
12,lagos-5062,93,88.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.663501,45.372562]}"
13,lagos-5063,95,92.00000000000001,23,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.511779,43.978073]}"
14,lagos-5064,90,86.0,16,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.950171,45.891657]}"
15,lagos-5065,70,65.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.285192,45.550292]}"
16,lagos-5066,90,69.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.337387,44.394031]}"
17,lagos-5067,96,93.99999999999997,89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.802335,45.766053]}"
18,lagos-5068,98,96.00000000000001,87,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-70.089673,41.713008]}"
19,lagos-5070,81,68.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-72.562678,43.447171]}"
20,lagos-5071,94,92.0,13,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.330276,45.973165]}"
21,lagos-5072,96,94.0,25,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.606658,42.609165]}"
22,lagos-5073,83,76.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-72.501375,44.352693]}"
23,lagos-5074,87,77.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.108347,44.505549]}"
24,lagos-5075,92,89.0,13,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.642481,42.642626]}"
25,lagos-5076,87,84.00000000000001,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.047513,45.55462]}"
26,lagos-5077,96,93.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.655559,45.992883]}"
27,lagos-5078,88,81.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.066293,45.600717]}"
28,lagos-5079,95,93.00000000000001,13,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.191434,43.472222]}"
29,lagos-5080,91,88.99999999999999,84,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-73.270597,43.755763]}"
30,lagos-5081,92,89.00000000000001,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.494756,44.580604]}"
31,lagos-5082,63,42.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.655686,46.225097]}"
32,lagos-5083,95,87.99999999999999,28,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.175989,45.402998]}"
33,lagos-5084,46,35.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.994948,44.553378]}"
34,lagos-5085,97,94.99999999999996,92,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.429375,45.333325]}"
